2025-10-17 9:48:17 PM	|	Animal topic: Dog
2025-10-17 9:48:18 PM	|	Plant topic: Carrots
2025-10-17 9:48:19 PM	|	Animal topic: Cat
2025-10-17 9:48:20 PM	|	Plant topic: Tomatos
2025-10-17 9:48:35 PM	|	Animal topic: Dog
2025-10-17 9:48:36 PM	|	Plant topic: Carrots
2025-10-17 9:48:37 PM	|	Animal topic: Cat
2025-10-17 9:48:38 PM	|	Plant topic: Tomatos
2025-10-17 9:55:33 PM	|	Animal topic: Dog
2025-10-17 9:55:34 PM	|	Plant topic: Carrots
2025-10-17 9:55:35 PM	|	Animal topic: Cat
2025-10-17 9:55:36 PM	|	Plant topic: Tomatos
